anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,NAVARRO,Estatal,Urbano,Primaria,962,896,31,0,970,3.22,0.0,92.37
2024,Buenos Aires,NAVARRO,Estatal,Urbano,Secundaria,1201,521,236,0,1208,19.65,0.0,43.13
2024,Buenos Aires,NAVARRO,Privado,Urbano,Primaria,721,702,0,0,716,0.0,0.0,98.04
2024,Buenos Aires,NAVARRO,Privado,Urbano,Secundaria,506,377,34,0,502,6.72,0.0,75.1
2024,Buenos Aires,NECOCHEA,Estatal,Rural,Primaria,337,318,9,0,328,2.67,0.0,96.95
2024,Buenos Aires,NECOCHEA,Estatal,Rural,Secundaria,306,169,53,0,295,17.32,0.0,57.29
2024,Buenos Aires,NECOCHEA,Estatal,Urbano,Primaria,6180,5789,164,1,6151,2.65,0.02,94.11
2024,Buenos Aires,NECOCHEA,Estatal,Urbano,Secundaria,6388,3794,1197,26,6307,18.74,0.41,60.16
2024,Buenos Aires,NECOCHEA,Privado,Urbano,Primaria,2651,2621,9,0,2647,0.34,0.0,99.02
2024,Buenos Aires,NECOCHEA,Privado,Urbano,Secundaria,2279,1724,104,1,2286,4.56,0.04,75.42
2024,Buenos Aires,OLAVARRIA,Estatal,Rural,Primaria,421,382,17,1,416,4.04,0.24,91.83
2024,Buenos Aires,OLAVARRIA,Estatal,Rural,Secundaria,475,309,52,12,433,10.95,2.53,71.36
2024,Buenos Aires,OLAVARRIA,Estatal,Urbano,Primaria,7581,6808,326,4,7550,4.3,0.05,90.17
2024,Buenos Aires,OLAVARRIA,Estatal,Urbano,Secundaria,7194,4435,1438,16,7134,19.99,0.22,62.17
2024,Buenos Aires,OLAVARRIA,Privado,Urbano,Primaria,2775,2687,24,0,2774,0.86,0.0,96.86
2024,Buenos Aires,OLAVARRIA,Privado,Urbano,Secundaria,3135,2052,166,0,3097,5.3,0.0,66.26
2024,Buenos Aires,PATAGONES,Estatal,Rural,Primaria,348,328,12,1,349,3.45,0.29,93.98
2024,Buenos Aires,PATAGONES,Estatal,Rural,Secundaria,284,156,52,8,280,18.31,2.82,55.71
2024,Buenos Aires,PATAGONES,Estatal,Urbano,Primaria,2316,2267,66,2,2335,2.85,0.09,97.09
2024,Buenos Aires,PATAGONES,Estatal,Urbano,Secundaria,2456,1133,450,13,2388,18.32,0.53,47.45
2024,Buenos Aires,PATAGONES,Privado,Urbano,Primaria,523,523,0,0,523,0.0,0.0,100.0
2024,Buenos Aires,PATAGONES,Privado,Urbano,Secundaria,642,362,50,1,633,7.79,0.16,57.19
2024,Buenos Aires,PEHUAJO,Estatal,Rural,Primaria,548,544,9,0,559,1.64,0.0,97.32
2024,Buenos Aires,PEHUAJO,Estatal,Rural,Secundaria,598,501,29,3,578,4.85,0.5,86.68
2024,Buenos Aires,PEHUAJO,Estatal,Urbano,Primaria,2952,2844,50,0,2948,1.69,0.0,96.47
2024,Buenos Aires,PEHUAJO,Estatal,Urbano,Secundaria,2882,2292,269,6,2884,9.33,0.21,79.47
2024,Buenos Aires,PEHUAJO,Privado,Urbano,Primaria,530,533,0,0,533,0.0,0.0,100.0
2024,Buenos Aires,PEHUAJO,Privado,Urbano,Secundaria,497,438,0,0,496,0.0,0.0,88.31
2024,Buenos Aires,PELLEGRINI,Estatal,Rural,Primaria,98,75,6,0,88,6.12,0.0,85.23
2024,Buenos Aires,PELLEGRINI,Estatal,Rural,Secundaria,146,127,7,0,134,4.79,0.0,94.78
2024,Buenos Aires,PERGAMINO,Estatal,Rural,Primaria,1069,1029,31,0,1076,2.9,0.0,95.63
2024,Buenos Aires,PERGAMINO,Estatal,Rural,Secundaria,518,305,115,2,515,22.2,0.39,59.22
2024,Buenos Aires,PERGAMINO,Estatal,Urbano,Primaria,6682,6038,377,3,6600,5.64,0.04,91.48
2024,Buenos Aires,PERGAMINO,Estatal,Urbano,Secundaria,6710,3826,1581,12,6583,23.56,0.18,58.12
2024,Buenos Aires,PERGAMINO,Privado,Rural,Secundaria,761,419,101,4,753,13.27,0.53,55.64
2024,Buenos Aires,PERGAMINO,Privado,Urbano,Primaria,2675,2654,4,1,2679,0.15,0.04,99.07
2024,Buenos Aires,PERGAMINO,Privado,Urbano,Secundaria,2328,1646,88,0,2327,3.78,0.0,70.73
2024,Buenos Aires,PILA,Estatal,Rural,Primaria,83,82,1,0,83,1.2,0.0,98.8
2024,Buenos Aires,PILA,Estatal,Urbano,Primaria,362,350,0,0,361,0.0,0.0,96.95
2024,Buenos Aires,PILA,Estatal,Urbano,Secundaria,372,244,29,0,369,7.8,0.0,66.12
2024,Buenos Aires,PILAR,Estatal,Urbano,Primaria,30150,27174,1746,153,30142,5.79,0.51,90.15
2024,Buenos Aires,PILAR,Estatal,Urbano,Secundaria,25938,18257,2323,4,25911,8.96,0.02,70.46
2024,Buenos Aires,PILAR,Privado,Urbano,Primaria,17879,17407,70,0,17844,0.39,0.0,97.55
2024,Buenos Aires,PILAR,Privado,Urbano,Secundaria,15609,11284,579,2,15508,3.71,0.01,72.76
2024,Buenos Aires,PINAMAR,Estatal,Urbano,Primaria,3555,3280,52,0,3525,1.46,0.0,93.05
2024,Buenos Aires,PINAMAR,Estatal,Urbano,Secundaria,3437,1918,450,18,3421,13.09,0.52,56.07
2024,Buenos Aires,PINAMAR,Privado,Urbano,Primaria,537,542,0,0,542,0.0,0.0,100.0
2024,Buenos Aires,PINAMAR,Privado,Urbano,Secundaria,300,220,2,2,292,0.67,0.67,75.34
2024,Buenos Aires,PRESIDENTE PERON,Estatal,Urbano,Primaria,10401,9865,325,0,10360,3.12,0.0,95.22
2024,Buenos Aires,PRESIDENTE PERON,Estatal,Urbano,Secundaria,8766,5712,976,3,8583,11.13,0.03,66.55
2024,Buenos Aires,PRESIDENTE PERON,Privado,Urbano,Primaria,3119,3055,21,0,3093,0.67,0.0,98.77
